Yr Mo Da Hr dur Lat Lon Calc Site
1983 9 18 1800 300 39.65 -80.42 0.0 302
1983 9 18 1800 300 40.38 -80.63 0.0 306
1983 9 18 1800 300 40.77 -80.75 0.0 308
1983 9 18 1800 300 41.3 -81.15 0.0 312
1983 9 18 1800 300 41.42 -81.87 0.0 314
1983 9 18 1800 300 41.3 -82.22 1.2497142224132223 316
1983 9 18 1800 300 41.27 -82.62 1.3476494056609019 318
1983 9 18 1800 300 41.33 -83.12 0.0 320
1983 9 18 1800 600 40.92 -81.43 8.484813111008192 310
1983 9 18 1800 600 40.0 -79.08 0.0 402
1983 9 18 1800 600 40.43 -79.15 0.0 404
1983 9 18 1800 600 41.63 -79.7 0.0 410
1983 9 18 1800 600 42.08 -80.18 0.0 412
1983 9 18 1800 600 42.6 -80.5 0.0 452
1983 9 18 1800 600 42.67 -81.15 0.0 454
1983 9 18 1800 600 42.7 -82.35 0.0 456
1983 9 18 1800 600 40.2 -78.25 0.0 502
1983 9 18 1800 600 40.67 -78.23 0.0 504
1983 9 18 1800 600 41.8 -78.63 0.0 508
1983 9 18 1800 600 42.48 -78.93 0.0 512
1983 9 18 1800 600 43.18 -79.4 0.0 552
1983 9 18 1800 600 43.52 -79.92 0.0 554
1983 9 18 1800 600 43.98 -80.75 0.0 556
1983 9 18 1800 600 39.92 -76.75 0.0 602
1983 9 18 1800 600 41.25 -76.92 0.0 606
1983 9 18 1800 600 41.98 -77.57 0.0 608
1983 9 18 1800 600 43.03 -78.18 0.0 614
1983 9 18 1800 600 43.92 -78.67 0.0 652
1983 9 18 1800 600 44.62 -79.53 0.0 654
1983 9 18 1800 600 40.37 -75.93 0.0 702
1983 9 18 1800 600 41.02 -75.9 0.0 704
1983 9 18 1800 600 41.83 -75.87 0.0 706
1983 9 18 1800 600 42.45 -76.45 0.0 708
1983 9 18 2100 300 39.65 -80.42 0.0 302
1983 9 18 2100 300 40.38 -80.63 0.0 306
1983 9 18 2100 300 40.77 -80.75 0.0 308
1983 9 18 2100 300 41.3 -81.15 54.98197514520017 312
1983 9 18 2100 300 41.42 -81.87 5287.38001557544 314
